FACILITYID,flood_risk_area_m2,flood_risk_percent
10000212,1703064.9523945155,30.356031122469467
10000215,921768.1735334764,16.466821024976145
10000206,0,0
10002714,1348455.131557853,31.643945367553584
10000200,0,0
10002917,0,0
10002916,0,0
10002857,0,0
10002928,0,0
10000204,0,0
10000213,8017.217584925562,0.1792912640885363
10000184,849155.0268161405,17.289597047149204
10002835,36799.99353608829,0.9598867601439879
10000216,NA,NA
10002799,298313.9352046918,7.2390922877868915
10002845,489629.677089899,12.436331623464415
10000224,575650.0500027114,12.523577146869275
10002827,0,0
10002791,4218.248134203973,0.09444159227162735
10000209,192766.77617090152,3.928655943421122
10005130,3064191.5866016163,88.78070053943058
10000196,12566.558832690023,0.24081475482706813
10000210,212230.8309639098,5.21321081100388
10002755,849014.9597819041,18.219063944372124
10000234,3278017.322690667,63.8526618798834
10002886,2196161.7648195075,53.139706236076925
10000161,399421.7105397097,10.312113620686828
10000152,36976.878969342164,0.7952966197429886
10001966,59219.12594492066,1.6054708190712592
10000228,406394.9629803949,10.211441057393628
10002858,0,0
10000208,0,0
10002876,46928.88638033179,1.0827349098367212
10002862,370562.6832663794,7.940669374981332
10000203,0,0
10002828,0,0
10000248,412021.68031194014,7.769178599538547
10000176,0,0
10000122,363472.4123640474,6.745279772187658
10000120,2527792.494572,53.48841552120559
10000103,101499.31614791427,1.8270878534570707
10000101,156433.9758679558,3.051634026431212
10000111,354453.66429496364,8.726033851708221
10000118,217764.21440148877,4.438031077887935
10000119,NA,NA
10005208,0,0
10003951,145481.45463755552,4.202018639734771
10006345,776878.5927409353,14.075296141446977
10000560,854098.6068379723,20.5109274345275
10002226,0,0
10000578,887021.444838144,19.848482790554343
10000385,1947684.6053060116,41.30969895861823
10005261,0,0
10000773,791570.028546112,14.582536860659449
10000799,690787.8002904096,12.192555553493479
10001530,0,0
10000428,NA,NA
10000056,0,0
10000384,2065178.1282478555,41.11333917973467
10000394,856552.1293928289,21.056621450135722
10000414,1222670.009197156,26.203133446418082
10000381,1495686.1448401068,30.339056519552987
10006189,0,0
10000430,873313.1439323976,22.098458009547798
10000418,811031.3074822945,15.57826560879763
10000419,813216.8876444603,17.099929156465638
10006206,830683.0688787315,16.261873354670143
10000444,3368829.882581909,65.83766842167765
10000055,0,0
10000057,0,0
10005642,529202.7558235389,10.203314445870319
10005640,72913.45262701905,1.5076915594010596
10006207,1125171.52313141,21.96524715586068
10001218,3470323.063070841,97.36022917718847
10006195,676857.9196631411,19.806426555766958
